Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
9	ENSG00000151849	0.87	0.49	0.71	0.786666666666667	0.663333333333333	0.552	0.48	0.47	0.6	0.66	0.76	0.526666666666667	0.42	0.31	0.14	0.28	0.1	0.04	0.2	0.12	0.1
9	ENSG00000151876	0.75	0.83	0.78	0.753333333333333	0.603333333333333	0.692	0.24	0.43	0.36	0.34	0.66	0.513333333333333	0.666666666666667	0.35	0.26	0.4	0.44	0.28	0.326666666666667	0.2	0.17
6	ENSG00000151881	0.95	0.79	0.69	0.873333333333333	0.44	0.528	0.2	0.22	0.82	0.76	0.66	0.486666666666667	0.62	0.64	0.16	0.68	0.32	0.06	0.406666666666667	0.44	0.18
3	ENSG00000151883	0.905	0.7	0.515	0.693333333333333	0.433333333333333	0.352	0.1	0.21	0.42	0.22	0.54	0.593333333333333	0.466666666666667	0.89	0.89	0.88	0.72	0.28	0.78	0.4	0.54
5	ENSG00000151892	0.62	0.75	0.44	0.44	0.353333333333333	0.488	0.146666666666667	0.16	0.2	0.28	0.41	0.38	0.546666666666667	0.46	0.95	0.96	0.92	0.84	0.853333333333333	0.98	0.75
6	ENSG00000151893	0.86	0.51	0.62	0.873333333333333	0.57	0.512	0.2	0.35	0.76	0.66	0.82	0.76	0.673333333333333	0.8	0.5	0.22	0.14	0.08	0.28	0.5	0.08
1	ENSG00000151923	0.925	0.78	0.6	0.813333333333333	0.616666666666667	0.532	0.266666666666667	0.3	0.6	0.56	0.72	0.6	0.606666666666667	0.61	0.67	0.44	0.16	0.02	0.186666666666667	0.22	0.07
8	ENSG00000151929	0.93	0.66	0.565	0.78	0.513333333333333	0.232	0.433333333333333	0.28	0.2	0.58	0.47	0.493333333333333	0.26	0.81	0.78	0.86	0.28	0.16	0.466666666666667	0.4	0.32
7	ENSG00000151948	0.775	0.72	0.69	0.713333333333333	0.33	0.38	0.273333333333333	0.5	0.5	0.56	0.81	0.446666666666667	0.46	0.32	0.76	0.58	0.96	1	0.593333333333333	0.6	0.36
5	ENSG00000152056	0.89	0.89	0.665	0.833333333333333	0.46	0.424	0.3	0.12	0.5	0.18	0.59	0.466666666666667	0.333333333333333	0.65	0.28	0.62	0.12	0.16	0.426666666666667	0.7	0.67
10	ENSG00000152078	0.145	0.16	0.485	0.893333333333333	0.643333333333333	0.736	0.353333333333333	0.55	0.78	0.7	0.87	0.753333333333333	0.913333333333333	0.12	0.49	0.58	0.72	0.28	0.54	0.68	0.23
1	ENSG00000152102	0.965	0.63	0.71	0.853333333333333	0.5	0.512	0.266666666666667	0.27	0.54	0.68	0.81	0.673333333333333	0.713333333333333	0.49	0.28	0.42	0.7	0.2	0.373333333333333	0.58	0.22
2	ENSG00000152104	0.97	0.85	0.75	0.793333333333333	0.503333333333333	0.452	0.206666666666667	0.4	0.58	0.46	0.79	0.606666666666667	0.453333333333333	0.87	0.52	0.52	0.2	0.04	0.2	0.06	0.25
6	ENSG00000152137	0.835	0.33	0.65	0.64	0.45	0.268	0.34	0.47	0.52	0.2	0.62	0.586666666666667	0.193333333333333	0.89	0.66	0.94	0.38	0.4	0.6	0.04	0.72
5	ENSG00000152217	0.965	0.86	0.61	0.72	0.353333333333333	0.324	0.0933333333333333	0.11	0.36	0.2	0.53	0.346666666666667	0.406666666666667	0.68	0.71	0.8	0.84	0.34	0.586666666666667	0.88	0.62
4	ENSG00000152219	0.925	0.57	0.77	0.62	0.27	0.628	0.113333333333333	0.35	0.42	0.44	0.8	0.326666666666667	0.706666666666667	0.86	0.75	0.58	0.46	0.32	0.186666666666667	0.56	0.49
6	ENSG00000152223	0.745	0.61	0.685	0.906666666666667	0.646666666666667	0.656	0.34	0.58	0.8	0.68	0.86	0.82	0.82	0.25	0.26	0.3	0.18	0.02	0.14	0.14	0.07
4	ENSG00000152229	0.335	0.5	0.675	0.826666666666667	0.656666666666667	0.564	0.293333333333333	0.48	0.96	0.64	0.84	0.793333333333333	0.72	0.87	0.53	0.18	0.04	0.08	0.286666666666667	0.48	0.23
2	ENSG00000152234	0.97	0.91	0.635	0.84	0.506666666666667	0.576	0.346666666666667	0.47	0.68	0.6	0.68	0.646666666666667	0.653333333333333	0.18	0.61	0.5	0.34	0.02	0.193333333333333	0.28	0.05
7	ENSG00000152240	0.855	0.47	0.62	0.613333333333333	0.653333333333333	0.62	0.58	0.56	0.38	0.62	0.5	0.44	0.46	0.34	0.17	0.18	0.1	0.02	0.133333333333333	0.08	0.1
4	ENSG00000152242	0.81	0.47	0.675	0.853333333333333	0.643333333333333	0.636	0.313333333333333	0.54	0.88	0.44	0.83	0.653333333333333	0.806666666666667	0.42	0.25	0.22	0.16	0.02	0.193333333333333	0.2	0.1
3	ENSG00000152256	0.94	0.67	0.635	0.686666666666667	0.596666666666667	0.444	0.333333333333333	0.67	0.72	0.46	0.78	0.726666666666667	0.473333333333333	0.68	0.62	0.04	0.06	0.12	0.133333333333333	0.18	0.05
9	ENSG00000152270	0.88	0.71	0.67	0.88	0.463333333333333	0.556	0.08	0.36	0.66	0.38	0.78	0.64	0.786666666666667	0.26	0.66	0.56	0.28	0.54	0.446666666666667	0.8	0.27
6	ENSG00000152284	0.97	0.7	0.74	0.713333333333333	0.616666666666667	0.44	0.56	0.48	0.34	0.5	0.68	0.706666666666667	0.486666666666667	0.74	0.25	0.36	0.28	0.1	0.0866666666666667	0.12	0.05
3	ENSG00000152332	0.53	0.46	0.61	0.866666666666667	0.516666666666667	0.64	0.14	0.23	0.56	0.48	0.95	0.653333333333333	0.866666666666667	0.56	0.6	0.66	0.68	0.32	0.506666666666667	0.72	0.33
8	ENSG00000152348	0.88	0.8	0.615	0.726666666666667	0.513333333333333	0.524	0.4	0.56	0.82	0.76	0.59	0.44	0.606666666666667	0.5	0.38	0.36	0.1	0.04	0.26	0.06	0.07
10	ENSG00000152359	0.895	0.61	0.66	0.893333333333333	0.57	0.524	0.26	0.61	0.84	0.72	0.82	0.6	0.6	0.61	0.12	0.32	0.12	0.06	0.253333333333333	0.04	0.23
