"","Phylostratum","GeneID","Zygote","Quadrant","Globular","Heart","Torpedo","Bent","Mature"
"21899",8,"at4g10910.1",800.3159078,930.7919813,720.2185151,703.8636713,702.4245734,701.2366743,802.166719
"21900",8,"at4g11390.1",726.2924976,710.7095643,780.7139224,802.9547725,787.9594987,782.1405074,774.0272322
"21901",8,"at4g11930.1",778.1923511,929.7799164,936.1348917,992.0846671,913.6662137,854.6890414,814.1632153
"21902",8,"at4g13266.1",834.3387948,858.5172562,800.6682027,836.5328742,814.242198,780.9743954,1085.045747
"21903",8,"at4g13540.1",808.4125225,849.2586267,872.3857451,774.1005187,797.2538408,878.2852783,863.5419477
"21904",8,"at4g13680.1",811.3338883,832.354825,828.5083211,848.7374065,893.030896,839.0607153,781.2864853
"21905",8,"at4g14380.1",777.4957601,879.8781776,917.2475023,752.9613567,838.5516391,826.1041891,837.325818
"21906",8,"at4g14450.1",900.9202619,765.1458313,923.8538584,868.526799,822.9499192,1008.881867,886.4270196
"21907",8,"at4g16380.1",945.9223708,935.9291536,827.962843,959.6595879,885.7123434,787.4118632,819.0438983
"21908",8,"at4g16550.1",1020.167444,1057.236864,880.5756185,873.6670747,839.1359138,752.0305481,908.6403619
"21909",8,"at4g16560.1",3571.187372,5238.725178,3643.643195,3256.327125,2906.231502,2161.435278,1390.338673
"21910",8,"at4g17060.1",5529.621973,4778.201669,2773.240515,2644.205259,2015.393523,2824.58774,9529.290454
"21911",8,"at4g17250.1",817.079798,811.7353656,812.0947459,806.8124776,879.2455287,872.0408302,841.0831003
"21912",8,"at4g17310.1",1056.600575,1111.557849,951.1520545,930.0432594,882.3106534,813.6656005,824.2678935
"21913",8,"at4g17440.1",733.9185844,757.4599015,731.3309695,807.1618386,768.8606107,853.8095486,1075.74079
"21914",8,"at4g18335.1",847.9995989,837.3585269,763.0710847,802.6126647,874.433207,890.0132651,892.5177846
"21915",8,"at4g18630.1",682.059231,643.65004,639.8348637,696.7799586,733.7768821,723.4308989,693.0555977
"21916",8,"at4g19470.1",2631.416204,3324.293501,3199.31999,3175.719618,4855.652314,2749.832874,1501.07142
"21917",8,"at4g20000.1",752.4305793,716.8432347,691.5868343,710.9451192,714.1275622,707.8259272,715.4703277
"21918",8,"at4g21215.2",699.9227682,690.4904272,660.4547581,687.1106931,678.1028076,670.5292384,683.0578116
"21919",8,"at4g21500.1",2527.509726,2322.614188,1821.537103,1693.346293,1628.362863,1254.068647,2464.335161
"21920",8,"at4g21740.1",747.9234171,800.0071307,714.202546,769.6025853,800.253092,775.0465591,760.1592811
